sigla;nome;atuacao
TCJ;NÌO INFORMADO;NÌO INFORMADO
TCV;EMPRESA DE TRANSPORTES AEREOS DE CABO VERDE S.A.;ESTRANGEIRA
THY;TURKISH AIRLINES INC.;ESTRANGEIRA
TIB;TRIP;BRASILEIRA
TIM;TEAM;BRASILEIRA
TIN;NÌO INFORMADO;NÌO INFORMADO
TIO;NÌO INFORMADO;NÌO INFORMADO
TLL;NÌO INFORMADO;NÌO INFORMADO
TOB;NÌO INFORMADO;NÌO INFORMADO
TPA;TAMPA S/A;ESTRANGEIRA
TPE;TRANSPORTES AEREOS PRESIDENTE S.A;BRASILEIRA
TPU;TRASAMERICA  AIRLINES-TACAPERU;ESTRANGEIRA
TSD;TAF ;BRASILEIRA
TTL;TOTAL;BRASILEIRA
TU4;NÌO INFORMADO;NÌO INFORMADO
TU6;NÌO INFORMADO;NÌO INFORMADO
TUI;NÌO INFORMADO;NÌO INFORMADO
TUS;ABSA;BRASILEIRA
TVJ;TAVAJ;BRASILEIRA
UAE;EMIRATES;ESTRANGEIRA
UAL;UNITED AIRLINES;ESTRANGEIRA
UPS;UNITED PARCEL SERVICE;ESTRANGEIRA
UVG;NÌO INFORMADO;NÌO INFORMADO
VBR;NÌO INFORMADO;NÌO INFORMADO
VCR;CRUISER;BRASILEIRA
VLO;VARIG LOG;BRASILEIRA
VRG;VRG LINHAS AREAS;BRASILEIRA
VRN;VRG LINHAS AEREAS;BRASILEIRA
VSO;NÌO INFORMADO;NÌO INFORMADO
VSP;VASP;BRASILEIRA
WEB;WEBJET;BRASILEIRA
